Astrobiology	The probability of extraterrestrial intelligent life is astronomically high, yet we have no evidence of it yet. This seeming contradiction is known as...	Fermi's Paradox	Fletcher's Paradox	Simpson's Paradox	Zeno's Paradox
Astrobiology	A fragment of rock from Mars, known as Nakhla's Meteorite, fell in Egypt in 1911. In 1999, what building blocks of life were found inside it?	Amino acids	DNA	Cell membranes	Proteins
Astrobiology	The circumstellar habitable zone (CHZ) is the distance from a star at which a planet can support liquid water, and possibly life. What is this zone also known as?	The Goldilocks Zone	The Cinderella Zone	The Rapunzel Zone	The Maleficent Zone
Astrobiology	An Israeli lunar lander, Beresheet, crash-landed on the moon in April 2019. It was carrying a type of organism sometimes called "water bears" that are capable of surviving in a vacuum. What is another name for that organism?	Tardigrades	Brine shrimp	Nematodes	Spiders
Astrobiology	Which planet in our solar system has moons that may have the conditions necessary to host life?	Jupiter	Mercury	Venus	Earth
Astrobiology	What hypothesis postulates that planets that can host life are less common than most scientists assume?	Rare Earth Hypothesis	Singular Planet Hypothesis	Principle of Mediocrity	Grand Tack Hypothesis
Astrophysics	What type of galaxy is the most common in the universe?	Elliptical	Spiral Barred	Spiral	Irregular
Astrophysics	Some regions of the sun's surface are unusually cool, compared to the surrounding matter. These are known as...	Sunspots	Coronal loops	Solar prominence	Spicule
Astrophysics	A system in which two stars continually orbit one another is known as a...	Binary star system	Paired star system	Dual star system	Twin star system
Astrophysics	Whose first law states that a planet's orbit is elliptical in shape, with the sun at one focus?	Johannes Kepler	Isaac Newton	Galileo	Albert Einstein
Astrophysics	What is the name of a region of spacetime so massive and dense that even light cannot escape its gravitational pull?	Black hole	Wormhole	White hole	Gray hole
Astrophysics	A lightyear is a measure of...	Distance	Time	Velocity	Energy
Astrophysics	A parsec is a measure of...	Distance	Time	Velocity	Energy
Computer Science	The most common operating system on personal computers in 2019 was...	Windows 10	MacOS	Linux	Android
Computer Science	The first fully-functional digital computer was the...	ENIAC	Apple II	IBM Personal Computer	UNIVAC 1103
Computer Science	Which of the following programming languages came first?	C	Java	Python	C++
Computer Science	A programming structure that can repeat a statement multiple times is called a...	Repetition structure	Decision structure	Recursion structure	Data structure
Computer Science	Computers are only able to understand 1s and 0s. This number system is known as...	Binary	Decimal	Ternary	Base-10
Computer Science	The part of a computer that can store data even when the computer is turned off is the...	Hard Drive	RAM	CPU	Motherboard
Constellations	The Boomerang Nebula is the coldest known place observed in the universe. In which constellation is this nebula located?	Centaurus	Aquarius	Corvus	Pegasus
Constellations	Which constellation is known as "the ram"?	Aries	Taurus	Gemini	Scorpio
Constellations	How many constellations are officially recognized by the International Astronomical Union?	88	13	50	174
Constellations	Which collection of twelve constellations lays along the ecliptic, and are only visible at specific times of year?	The Zodiac	The Ursa Major Family	The Heavenly Waters	The Orion Family
Constellations	The Big Dipper is located in which constellation?	Ursa Major	Ursa Minor	Canis Major	Canis Minor
Constellations	Which mythological hunter's belt consists of the stars Zeta, Epsilon, and Delta?	Orion	Hercules	Perseus	Cassiopeia
Constellations	Which constellation can be used in the Southern Hemisphere to find due south?	Southern Cross	Big Dipper	Orion	Winter Triangle
Famous Scientists	Which scientist is well-known for his Theory of Relativity?	Albert Einstein	Stephen Hawking	Isaac Newton	Galileo
Famous Scientists	Which Greek mathematician computed the radius of the earth more than 2000 years ago?	Eratosthenes	Aristarchus	Archimedes	Euclid
Famous Scientists	Which mathematician was the first person to publish an algorithm that could (theoretically, at the time) be carried out by a machine?	Ada Lovelace	Margaret Hamilton	Grace Hopper	Kathleen Antonelli
Famous Scientists	What Navy Rear Admiral popularized the idea of programming languages that could run on multiple machines?	Grace Hopper	Ada Lovelace	Margaret Hamilton	Kathleen Antonelli
Famous Scientists	In 2014, astrophysicist Neil Degrasse Tyson hosted a television series called Cosmos: A Spacetime Odyssey. Who hosted the original series, Cosmos: A Personal Voyage, in 1980?	Carl Sagan	Stephen Hawking	Albert Einstein	Isaac Newton
Planetary Science	Each of the following bodies of water has a high saline content, meaning they are all very salty. Which has the highest saline content?	Dead Sea	Great Salt Lake	Red Sea	Lake Albert
Planetary Science	Which of the following Norwegian words refers to a geological formation caused by a glacier cutting a U-shaped valley between mountains?	Fjord	Arete	Cirque	Gulch
Planetary Science	Which layer of the atmosphere, where oxygen molecules are heated by energetic solar rays, is located at the highest altitude?	Thermosphere	Troposphere	Stratosphere	Mesosphere
Planetary Science	Which type of cloud is often described as white, puffy, fluffy, and cotton-like?	Cumulus	Stratus	Cirrus	Nimbus
